cell_id,id_compuestos_actividad_positiva
1,"[2580, 5105, 1148287]"
3,"[287231, 2304079]"
5,"[5105, 56458, 56459, 71516, 78759, 151991, 152995, 194337, 194342, 195649, 1220034, 1294151, 2005315]"
21,"[71516, 152995, 560078, 1294151, 1927101]"
27,"[1143686, 1568505]"
31,"[107508, 108296, 108327, 108902, 108946]"
37,"[14440, 187372, 1797457, 1840420, 1840421, 2014388, 2014425, 2329819, 2382249]"
38,"[8062, 151991, 152995, 187372, 1927101]"
39,"[152995, 1344285]"
42,"[29325, 49931, 219568, 220383]"
44,[63279]
45,[75901]
46,[1376110]
53,"[246935, 508470, 1180204, 1512419, 1623452, 2204910]"
55,[87293]
58,"[5105, 5295, 8062, 71516, 151991, 152995, 560078, 1344392, 1927101]"
60,[374019]
61,[4504]
63,[373381]
66,"[71516, 151991, 560078, 596528, 598734, 598961, 599099, 622966, 622968, 622970, 622971, 622972, 624466, 1166684, 1166685, 1166686, 1166688, 1166689, 1166690, 1166691, 1927101, 2154038, 2174752, 2182594]"
73,"[8062, 71516, 151991, 152995, 560078, 1836858, 1927101]"
74,"[202260, 202595, 203042]"
75,"[71516, 75901, 151991, 152995, 419032, 560078, 1178704, 1193367, 1622615, 1797457, 1927101, 2382249]"
76,[2021521]
77,"[19101, 35874, 49931, 64671, 374019]"
81,"[4843, 5043, 5049, 5089, 5095, 5098, 5143, 5181, 5227, 213326, 213328, 213354, 292863, 293300, 294055]"
90,[1408997]
95,[187372]
97,"[5105, 5295, 8062, 14440, 71516, 183934, 499179, 557072, 565901, 1345338, 1607512, 2182594, 2321925, 2332530]"
98,"[2359364, 2377606, 2384069, 2391516, 2412629, 2443073]"
104,"[16547, 16634]"
106,"[5295, 50068, 50122, 50153, 50189, 50219, 50254, 50256, 50593, 50595, 50640, 50908, 50944, 507066, 512454, 513658]"
110,"[222232, 245881, 460499, 460500, 460501, 460502, 460503, 460504, 460505, 460506, 460507, 460508, 460509, 460515, 460516, 460517, 460518, 460519, 460520, 460521, 460522, 460523, 460524, 460525, 460526, 460527, 460528]"
117,"[108296, 108327, 108902, 108946]"
122,"[5105, 8062, 13590, 71516, 75901, 80669, 151991, 152995, 187372, 263721, 419032, 475734, 490644, 1294151, 1379628, 1927101]"
124,[103459]
125,"[377611, 1076153, 2055256]"
137,"[187372, 705446, 1424583]"
140,"[29325, 116927, 117236]"
141,"[5295, 8062, 512200, 1421987, 2266798, 2273627, 2380541]"
142,[5105]
154,"[4775, 5105, 75901, 151991, 152995, 204849, 205195, 205209, 205294, 205429, 205521, 205536, 205590, 205763, 206001, 206002, 206007, 206105, 309320, 309321, 309377, 309431, 309508, 560078, 1163097, 1349249, 1445910, 1445911, 1927101]"
158,"[246935, 1180204, 1512419, 1561031, 1623452]"
160,[365281]
163,[49931]
164,"[5295, 54712, 626456, 680183, 1281585]"
165,"[5105, 71516, 151991, 152995, 560078, 1376110, 1927101]"
169,"[4584, 9128, 261089, 513723, 579828, 579857, 579864, 1173967]"
171,[1145229]
173,[152995]
178,"[27307, 281080]"
185,"[2580, 13590, 51929, 51979, 52696, 106996, 107285, 130909, 150774, 188773, 188804, 188956, 189109, 189110, 190119, 205648]"
187,"[71516, 1163586, 1163588, 1163594, 1163596]"
189,"[44165, 175594]"
190,[2357504]
193,"[1588123, 1588126]"
196,"[5295, 21789, 21791, 49931, 54662, 374019, 458543, 458603, 1344285, 1344392, 1346267, 1439753]"
198,"[16524, 213602, 213748, 222692, 365281, 400492, 1974872, 1974873, 1974874, 1974875, 1974876, 1974878, 1974879, 1974880, 1974881, 1974883, 1974884, 1974885, 1974886, 1974888, 1974889, 1974890]"
201,[1101586]
217,"[61142, 61315, 61675]"
220,"[151991, 427010]"
221,"[63252, 82763]"
222,"[108296, 108327, 108946]"
223,"[187649, 188011]"
226,"[11305, 590141, 1844293]"
227,[161022]
228,"[13590, 71516, 75901, 151991, 152995, 560078, 1927101, 2021521]"
229,"[51929, 114733]"
231,"[35874, 151991, 152995, 560078, 1927101]"
233,"[19101, 35874, 49931, 63613, 151991, 152995, 374019, 1927101]"
237,"[5105, 75901, 152995, 187372, 1294151, 1927101]"
241,"[5105, 13590, 75901, 78759, 151991, 152995, 1927101]"
242,[9097]
246,"[5105, 71516, 75901, 151991, 152995, 282196, 419032, 442943, 560078, 1251237, 1927101, 2084601]"
248,"[12437, 214533]"
252,"[5105, 49931, 71516, 75901, 183934, 675133, 1294151, 1927101]"
255,"[187372, 692959, 698457, 1927101, 2092127]"
258,[226525]
259,"[8062, 71516, 152995, 187372, 427010, 560078, 1927101]"
260,[365281]
263,[103459]
264,[152995]
266,[675]
269,[161178]
273,"[16524, 19101, 78759, 182634, 183134, 183291, 183326, 195012, 204071, 204242, 204282, 204306, 297562]"
274,"[19706, 32553, 51929, 52393, 106996, 106997, 107285, 107355, 130909, 134092, 150774, 165968, 165972, 188773, 188804, 188956, 189109, 189110, 189624, 190119, 190142, 574863]"
281,"[1059763, 1072466, 1072472, 1072479, 1139501, 1444285, 1444288, 1444289, 1444291, 1444294, 1444295, 1757249]"
282,"[923, 5105, 8062, 13590, 71516, 75901, 78759, 151991, 152995, 187372, 427010, 560078, 1927101]"
289,[2208]
293,"[78759, 152995, 246935, 1180204, 1220034, 1512419, 1623452, 2005315]"
294,"[50439, 460092, 1353086, 1355646]"
298,"[3859, 95917]"
299,"[405786, 1339481]"
300,"[1791897, 1791911, 1791916]"
301,"[329475, 374719, 427010, 441420, 521906, 560078, 582652, 582796, 582797, 675138, 676182, 1510500]"
302,"[4775, 5105, 5295, 162058, 183934, 1294151, 1927101]"
303,"[5105, 75901, 151991, 152995, 306312, 312777, 326859, 619831, 1293346, 1321380, 1927101, 2425647]"
304,"[151991, 334592]"
